term,canonical_moses_meaning,first_known_internal_usage,first_known_public_disclosure,external_prior_usages,field,conceptual_overlap,explicit_distinction,citation,institutional_anchoring,trademark_relevance,patent_relevance,status
Commitment Theory,"Framework studying deontic content preservation in signals under transformation",2026,10.5281/zenodo.20031715,"Brandom (philosophy of language); Meyer & Allen (org psych); Walton & Krabbe (dialogue); Singh (multiagent); Solinger (CST); Kiesler (behavioral); Peirce (assertion)",Multiple,"MODERATE-HIGH (dialogue systems, multiagent, assertion)","Signal-side deontic invariant, not agent-side obligation, not behavioral commitment, not dialogue store, not assertion liability","Disambiguation_Guide.md; P-000 Proposition 2","Yes (multiple institutions across fields)","Unknown — term is descriptive, not branded","Not directly covered by 63/877,177",OWN
Conservation Law of Commitment,"C(T_gov(S)) = C(S)",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Full phrase verified zero-collision April 2026","Naming_Architecture.md; Nine_Novel_Concepts.md","No","Available — zero collision","Not directly covered by 63/877,177",OWN
Commitment Kernel,"Minimal identity-preserving deontic invariant",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision verified April 15, 2026","Nine_Novel_Concepts.md","No","Available — zero collision","Not directly covered",OWN
Governed Transformation,"Transformation through constitutional constraints preserving commitment kernel",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision. NOT supervised learning, NOT regulated AI, NOT human oversight, NOT Constitutional AI","Nine_Novel_Concepts.md","No","Available — zero collision","Covered by 63/877,177 (operational system)",OWN
Ungoverned Transformation,"Transformation lacking constitutional constraints",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision. NOT unsupervised learning, NOT unregulated AI","Nine_Novel_Concepts.md","No","Available — zero collision","N/A",OWN
Deontic Conservation,"Preservation of obligations/prohibitions/permissions across transformation",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision","Nine_Novel_Concepts.md","No","Available — zero collision","N/A",OWN
Commitment Invariance,"C(S) = C(T(S)) for all governed T",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision","Nine_Novel_Concepts.md","No","Available — zero collision","N/A",OWN
Signal Commitment Preservation,"Operational process of ensuring commitment kernel survives transformation",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision. NOT signal fidelity (broader engineering term)","Nine_Novel_Concepts.md","No","Available — zero collision","Covered by 63/877,177",OWN
Meaning Preservation Law,"Plain-language term for Conservation Law of Commitment",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision. NOT a statute, NOT a regulation","Nine_Novel_Concepts.md","No","Available — zero collision","N/A",OWN
Commitment Governance Test,"Five-stage evaluation protocol for commitment kernel conservation",2026,10.5281/zenodo.20029607,"Not found in searched corpus",N/A,"N/A (zero collision)","Zero collision. NOT compliance checklist, NOT bias audit","Nine_Novel_Concepts.md","No","Available — zero collision","Covered by 63/877,177",OWN
